usuarios,tweets
@joseojedarojas,"Ejercicio practico de #python, base de datos Alumnos con #sqlite, creando el menu de opciones, #cursoPython de #josecodetech, -> https://youtu.be/OAZQ_svrdew #programacion #tutorial #funcion #python #condicional #code #codigo #script"
@Todosobre_Excel,Se vienen los videos de ¡Python con Excel! #ExcelyPython #MicrosoftExcel #Python #TodoSobreExcel
@RaptoreumES,#Raptoreum será una leyenda. #Java #Python #GhostRider #SmartNodes #POW #POS
@francobalich,¿Cuál creen que será el resultado? #Python #Programacion #Software
@Save75_,"Day 31/100 #100DaysOfCode Hoy repase los conceptos que aprendí de la libraria numpy y pandas, tal vez cree un mini proyecto para profundizar en el tema #100DaysOfCode #Python"
@francobalich,¿Esta sera una nueva forma de aplicar Python en la robótica? #Python #Programacion #Robotica
@Save75_,"Day 30/100 #100DaysOfCode Aprendiendo a utilizar operaciones entre columms, sigo aprendiendo Pandas, #100DaysOfCode #Python"
@pyladiescbba,Acompáñanos éste sábado para hablar acerca de las posibilidades de los Scripts en Python Te esperamos a las 19:00 (GMT-4) #Python #pyladies #pyladiescochabamba #pyladiescbba #script #Space
@dennyperez18,¡Participa en el sorteo de 2 TICKETS para asistir a #PyConLatam22! La dinámica es simple: Sigue la cuenta @PyLatam RT este tweet El Martes 16 a las 19:00 en un live compartiré a las personas ganadoras. #Python #PyCon
@EugeniaBahitOK,"¡Buenas buenas! Hoy, en fase beta pero con mucho que ofrecer, les presento a mi nueva niñita: La web de #Python Aplicado Aún hay mucho por hacer, nuevas funcionalidades y mejoras, pero ya se encuentra funcional y en excelente estado. ¡Disfrútenla!"
@BitBoss0,¿Sabes qué son los tipos primitivos de #Python? APRENDE en nada de tiempo : QUÉ SON LOS TIPOS PRIMITIVOS CUÁLES SON LOS DE PYTHON Extra: Curso gratuito de Python Abro hilo
@david_bonilla,"Buscamos #Python Developers para nflux una startup que desarrolla software (bastante amazing, por cierto) para ayudar a humanos a realizar tareas manuales que exigen alta precisión, por ejemplo... ASTRONAUTAS €55-65K 100% REMOTO https://getmanfred.com/es/ofertas-empleo/579/nflux-python-backend-developer-ago22… PLZ RT !!!"
@redmaytals,Corazón de fuego #NationalGeographic #Fotodeldia #Python #Tweepy
@JavierCornejoT,Casos COVID en distritos de Lima Sur #COVID19 #python #dataviz #Covid #CuartaOla
@C0d1g0Maqu1na,Conoce cómo crear Gráficas Especiales para Visualizar Datos CATEGÓRICOS con #Seaborn de #Python https://youtu.be/ncfPK06nKA8 #dataanalytics #datascience #cienciadedatos
@Me_llaman_jota,13 alcaldes y ex-alcaldes capturados en menos de 6 horas... #Colombia #Crypto #Petro #Python #javascript #NFTs #nsfwtwt #Noticias #Memes #IoT #gamer #nsfwtwtًًًٌٌٍِّْْٓ #News #javascript #Politica
@GerJPE94,"Día 3 #100DaysOfCode #Python #github En este día pude ver la parte de operadores de asignación, lógicos, aritméticos y de comparación. Muy interesante ya que pude ver operadores que trabajan a nivel de bit y algunos ejercicios Estuvo entretenido hoy Vamos por más"
@nabellalucia,Tengo una duda muy grande y me gustaría saber la respuesta: para un junior de Backend en #Python cuál o que sería lo que tendría que hacer / tener para obtener su primer trabajo? Que debe manejar?
@juan7cdb,"Esperando a #Kazel, una plataforma para hacer cambiar TU historia!!! #Python"
@PyLatam,¡Hola comunidad! Aprovecha la oportunidad de optar por una beca para asistir a #PyConLatam22. Solo quedan 5 dias para que apliques #Python #PyCon #PyLatam
@CryptoForexSys,Proyectos sencillos y útiles en #python
@RosanaFerrero,Cómo crear mapas animados con ganimate @d4tagirl https://buff.ly/3JPMpqH #rspatial #maps #data #dataviz #Datavisualization #DataScience #DataScientist #Analytics #MachineLearning #ML #BigData #IoT #IIoT #Python #RStats #TensorFlow #Programming #Coding #100DaysofCode
@EbrcPublisher,¿Has visto el artículo #recomendado de #hoy? Hoy te traemos una introducción al #scripting con #Python. LÉELO #GRATIS
@AccudeTi,Aprende a programar en Python creando tu propia versión del buscaminas de Windows https://buff.ly/3LfWE7k #developer #programador #informatico #SoftwareEngineer #programacion #tecnologia #fullstack #code #Python #Buscaminas
@GerJPE94,"Día 5 #100DaysOfCode #Python #github #Jupyter Continuando con lo pendiente del día anterior, pude avanzar y terminar la gran cantidad de métodos que permiten interactuar con los datos de tipo cadena. Además, vi un poco de 'LISTAS', como crearlas y acceder a sus elementos"
@Save75_,"Day 28/100 #100DaysOfCode Hoy comienzo a aprender a utilizar la libreria Pandas, Que es un DataFrame, leer archivos csv, rellenar valores NaN. #100DaysOfCode #Python"
@Python_desde_0,Consejos prácticos para enseñar programación #Python en Secundaria y Bachillerato http://bit.ly/2idrGlz
@AkxDevelopment,Y por hoy ya estaría :) ¡Esperamos que os hayan gustado los datos sobre #Python!
@tycgis,𝗖𝗨𝗥𝗦𝗢 𝗗𝗘 𝗣𝗬𝗧𝗛𝗢𝗡 𝗘𝗡 𝗤𝗚𝗜𝗦 Mañana empieza el curso que capacitará al alumno en el tratamiento de datos en QGIS y la automatización en Python. https://bit.ly/Curso_PyQGIS Contáctenos: formacion@tycgis.com +34 635 619 882 #Python #QGIS #PyQGIS #curso
@sebaarbe,Me animé a aprender #Python con #freeCodeCamp Español https://youtube.com/watch?v=DLikpfc64cA&t=8459s…
@PyLatam,"Speaker Conoce a Tatiana Delgadillo, quien nos estará compartiendo una charla en #PyConLatam22 sobre: ""Visualizando la realidad sin datos abiertos con Python: Feminicidios en Bolivia"" Obtén tu boleto: https://events.hubilo.com/pycon-latam-2022/register… #PyConLatam #Python #Speaker"
@GerJPE94,"Día 1 #100DaysOfCode #Python Este primer día se vio un poco de variables, tipos de datos, buenas practicas, operaciones con datos, concatenado y casteo. Entusiasmado y con ganas de continuar con el reto Agradecido con @MoureDev y @Asabeneh por compartir sus conocimientos"
@first_issues,Add favicon.ico https://github.com/systemetric/shepherd-2/issues/22… #github #HTML #Python #JavaScript #Shell
@ingenieriaUDD_,"Los queremos invitar a un nuevo ciclo de la Academia Tecnológica, que tendrá como tema “Primeros pasos: #Python para principiantes” Online 18:30 25 y 30 de agosto Link de inscripción: https://lnkd.in/e5RBABA2"
@bermudez_ademir,Resumen robot Chris 5.0a Créditos adecuados para esta pista: Música compuesta por Joystock - https://joystock.org #EsRobotica #ademir_bermudez #robotica #arduino #python #elsalvador #visualstudio #educacion #humanoide
@_qu4nt,Te mostramos cinco librerías en Python para tu próximo proyecto de ciencia abierta https://lnkd.in/eS293SE2 #python #datascience #pandas #matplotlib #seaborn #opensource #openscience #bokeh #scipy
@cibernicola_es,"OJO con este repo en pypi contiene malware, emulando packs como: TensorFolw, Seabron, etc. #python #DataScience #malware #infosec"
@Masterhacks_net,Detectan 10 bibliotecas #Python de robo de credenciales en el repositorio #PyPi
@2RaederDev,"No sé la razón, pero lo cierto es que tenía pendiente este bite hacia tiempo. Tenía... hasta hoy. #python @pybites Bite 167. Complete a User class: properties and representation dunder methods"
@psicometries,ANALIZANDO DATOS: ¿R o Python? - 1x10 Psicometríes : https://youtu.be/fOiqDW25PN8 Directo analizando una base de datos de Star Wars simultáneamente en ambos lenguajes. ¿Cuál ganó en eficiencia? ¿cuál en accesibilidad? ¿y en visualización de datos...? #Rstats #Rladies #Python
@see_estadistica,"Les recomendamos este libro: ** Automated Machine Learning ** Gratuitamente descargable desde: https://automl.org/wp-content/uploads/2019/05/AutoML_Book.pdf… #DataScience | #Estadistica | #CienciaDeDatos, #Python | #RStats | #InteligenciaArtificial | #MachineLearning | #IA"
@EHCGroup,"Eliminan 10 módulos del índice de paquetes de Python (PyPI) por recopilar datos críticos, como contraseñas y tokens de API, y permitían robar datos privados y credenciales. #cybersecurity #vulnerabilities #Hacking #Python #ciberseguridad #Discord"
@EbrcPublisher,"Artículo #recomendado de #hoy: «Introducción al #scripting en #GNU #Linux con #Python», por @EugeniaBahitOK ACCESO #GRATIS"
@PyLatam,"Conoce @FelipeSMBarros , quien nos estará compartiendo una charla en #PyConLatam22 sobre: ""Desarrollando un sistema de gestión de datos de biodiversidad con Python, Django y pocos recursos, sin perder calida"" Obtén tu boleto: https://events.hubilo.com/pycon-latam-2022/register… #PyConLatam #Python"
@DGTIUV,Inscríbete a este taller técnico gratuito de #Huawei e inicia en el mundo del análisis de datos con el lenguaje de programación #Python. Registro: https://bit.ly/3vC5irf #ComunidadUV #ConocimientoTIuv
@Python_desde_0,Utiliza #Python con tu #Arduino: Leyendo Python desde Arduino http://bit.ly/2fnB8RX via Untitled
@money_personal,Uso de bancos de dados com Python #bancos #dados #Python University of Michigan ->
@jblefevre60,Autonomous security robots! #AI #MachineLearning #Robotics #IoT #Python #Coding #100DaysOfCode @futurism @CurieuxExplorer @Xbond49 @PawlowskiMario @mvollmer1 @gvalan @ipfconline1 @diioannid @Shi4Tech @Fisher85M @kalydeoo @Ym78200 @Nicochan33 @ahier
@xurxia,Interesantísimo artículo de Peter Norvig donde en sólo 117 líneas de #Python implementa un intérprete de #Lisp. Un código tan breve como bello. https://norvig.com/lispy.html
@haro_ca_,"Pásele a platicar el miércoles. Vamos a estar @claudiodanielpc , @miguelraz_ y un servidor hablando del bello #python pandas y de dataframes"
@jpcarsi,"En un ejemplo más de amenazas a la cadena de suministro, equipo de Sonata descubrió un nuevo paquete de #Python distribuido a través del repositorio PyPI que coloca malware de #criptominería sin archivos en sistemas #Linux. https://buff.ly/3QjG35p by @Ax_Sharma #ciberseguridad"
@TrackerCourses,Python 3: Análisis y visualización de datos #100%off #análisis #courses #datos #python #visualización https://idownloadcoupon.com/product/python-3-analisis-y-visualizacion-de-datos-3/…
@clonbg1,Un par de cursos de Youtube sobre programación. #VueJS #Javascript #Python #Programacion @juanwmedia https://clonbg.netlify.app/#/cursos-youtube… https://clonbg.es
@PyLatam,"Speaker Conoce a Laura Gutierrez Funderburk @LGFunderburk , quien nos estará compartiendo una charla en #PyConLatam22 sobre: ""De Jupyter a data pipeline: una introducción a Ploomber: Obtén tu boleto: https://events.hubilo.com/pycon-latam-2022/register… #PyConLatam #Python #Speaker"
@comidoc,"Universidad Python sin límites. Tkinter, PySide, y mucho más 50.5 hours | 10335 students | April 2022 release LINK => https://comidoc.net/udemy/universidad-python-sin-limites-tkinter-pyside-de-cero-a-experto/?utm_source=twitter&utm_medium=coupon… #Udemy #Python #TkInter #PyCharm #PySide"
@PyLatam,"Speaker Conoce a David Sol, quien nos estará compartiendo una charla en #PyConLatam22 sobre: ""Python en la Nube: Automatizando la operación de AWS con Boto3"" Obtén tu boleto: https://events.hubilo.com/pycon-latam-2022/register… #PyConLatam #Python #Speaker"
@comidoc,Python 3: Análisis y visualización de datos 7 hours | 75371 students | May 2022 release LINK => https://comidoc.net/udemy/python-3-analisis-y-visualizacion-de-datos/?utm_source=twitter&utm_medium=coupon… #Udemy #Python #Data #Analysis
@mcsenri,#Python | Sencillo ejemplo del uso de condicionales en una calculadora en py. #Python | very simple calculator using conditions in py.
@BolsaMx,"Ya conoces el apartado en el #discord de @liamacro con cursos GRATIS de programación, libros, trading, este último de #python ahora que esta de moda #bolsamx Solo ingresa al widget en https://lia-macro.com"
@Chazkon,Ya está disponible un nuevo capítulo en mi ruta de aprendizaje con #Python Temas: - Instalación de Python - Instalación de Visual Studio Code y extensiones - Creación cuenta de GitHub
@CarloSeisdedos,"Detectan varios paquetes maliciosos en PyPI, el repositorio de software oficial para desarrolladores de #Python."
