usuarios,tweets
@TwitterEspana,"Con el calor no podemos ayudarte, ¡pero a refrescar tu timeline sí! Este verano con el hashtag #RefrescaTuTimeline queremos recopilar recomendaciones, consejos y los mejores contenidos para convertir Twitter en tu oasis particular. ¿Te animas con la primera recomendación?"
@Petimetre5,"Hola,#TwitterEspaña: Recibo advertencia de Infracción de Derechos de Autor o algo parecido PERO NO ME HAN DICHO: -EN QUÉ TWEET -EN QUÉ FRASE, CITA,IMAGEN ,VÍDEO O NO SÉ QUÉ COSA. POR FAVOR ¿TENDRÉ ""#DERECHO"" A QUE TENGÁIS LA #DECENCIA, #GENEROSIDAD, #CONDESCENDENCIA DE DECIRME?"
@JOSELOZANOROLD6,Asta las narices nos tenéis con tanto cierre dé cuentas de gentes de izquierdas está claro que las de extrema derecha ni las tocáis panda de fascistas
@Petimetre5,"NO ESCRIBO NI PUBLICO NADA QUE NO SEA CREADO POR MI.. POR FAVOR, ¿Me podéis PREVENIR, ALERTAR, AVISAR, ACLARAR CUÁL FUE EL TWEET, EL MOMENTO, LA ACCIÓN, EL CONTENIDO, QUÉ TIPO DE OBRA SE SUPONE QUE HE ""USURPADO*, QUÉ DÍA, EN QUÉ PUBLICACIÓN, DÓNDE? Si se hizo, NO LO HE NOTADO.."
@pepeblai,"A ver, panda de tarugos, ¿me podéis explicar por qué mi tuit es engañoso si estoy DESMINTIENDO un bulo? ¿Sois tontos o es que no sabéis leer?"
@pepeblai,¿Se os ha fundido el cerebro con el calor?
@FachaArte,Hay grupos que se organizan en Telegram para cerrar cuentas realizando reportes falsos y/o en base a cadenas de texto sacadas de contexto. También utilizan el reporte de contenido multimedia privado presentando DNIs falsos. Deberíais evitarlo.
@Petimetre5,"Además de narraciones dramáticas, costumbristas, humorísticas, textos escénicos, ensayos, poesía, soy este Autor Miembro de SGAE: Armando Hermenegildo Prieto Sust, socio con número de Código 86.568, y CAE 4.415.984-43, así como seudónimo ""Mandy Prieto"", con CAE 4.415.985-41"
@Repux,"Venga, daros prisa con mi bloqueo que estoy harto de usar mi cuenta B, llevo semanas con una gilipollez"
@nachogap,Protegerse de vosotros
@Toppolino32,Esta cuenta que vimos en el instituto y tiene canciones para enseñar lengua https://twitter.com/esculpamia/status/1433517962678439941…
@EdmondD51794127,o reformenlo o cierrenlo ahora da asco
@blissy,Aquí mi hilo para protegerse en Twitter https://twitter.com/blissy/status/1465652088227119110… #RefrescaTuTimeline
@Miranda97230336,"Estoy muy cansade de que cada vez que algo no se ajusta al relato, vendidos incapaces, salgáis con lo de quieres leer. Todo cae del mismo lado.Quién es el enchufado que decide?Estáis,lameculos, para desafiar al poder, no para abrir la boca a la lluvia dorada."
@tonycaluori,"#RefrescaTuTimeline Descubre estos principios, que seguro te ayudaran."
@tonycaluori,#RefrescaTuTimeline Algo de cultura y entretenimiento:
@Dean_000000,"Estoy bloqueado hace tiempo con los seguidores,me parece absurdo que no pueda seguir a toda la gente que desee como periodistas, personas Interesantes, o devolver el follow a quien me sigue. #ABSURDOTWITTER"
@el_betelito,"Deberíais revisar mas los twit y eliminar todos aquellos que acosan, mienten, difaman, etc, etc. Y con respecto a los espacios monetizados, deberiais ir concediéndolos ya que algunos llevamos ya un año esperando."
@bajopueblo,Recomiendo dar a los jueces la información requerida a todos los afectados de las múlti cuentas
@Wilmer79575878,Quitale la restricción a @infovloger
@caminored,"Revisa a quien sigues y quien te sigue! A mi me gusta revisar de vez en cuando para que mi timeline se ajuste a mis intereses reales, no a los de hace dos años, cuando quizás seguí a alguien por un tema muy concreto pero su perfil ya no me suma tanto. Y tú, @ElenaBule ?"
@ElenaBule,"Las listas!!! La manera más óptima de organizar tu timeline, ya que puedes tener listas en función de lo que te interesa con los perfiles más relevantes que conversan sobre el tema. No hace falta que les sigas y puedes pasar de una lista a otra rápidamente. Yo tengo varias ;)"
@samuelt0415,#RefrescaTuTimeline
@azy_zgz,"Es una vergüenza que no personalicéis las incidencias en que los usuarios tienen, os escondéis detrás de un formulario y que nos apañemos .."
@ernestoacostame,"Se me ocurre algo para refrescarlo: menos publicidad en todas partes, o al menos con más distancia entre una y otra."
@JuanjoChica_,No os hagáis twitter
@ro_as24,Poned la opción editar tweet de una vez
@antoniosr_13,No
@hug0nES,Para ayudar devolver las cuentas que cerráis sin motivo y atentando contra derechos constitucionales.
