title,author,length
La dictadura infinita,Luis del Pino,Duración: 9 horas y 22 mins
Una corte de rosas y espinas 1,"Sarah J. Maas,Márgara Averbach - traductor",Duración: 16 horas y 42 mins
Florentino Pérez,Fonsi Loaiza,Duración: 6 horas y 30 mins
Nahum,J. J. Benítez,Duración: 17 horas y 29 mins
Por si las voces vuelven,Ángel Martín,Duración: 4 horas y 18 mins
Magia a domicilio,"Pedro Mañas,David Sierra Listón - Ilustrador",Duración: 1 h y 12 mins
Invencibles,Juan Antonio Pérez-Foncea Álvarez,Duración: 7 horas y 58 mins
La ContraHistoria del comunismo,Fernando Díaz Villanueva,Duración: 7 horas
Operación Kazán,Vicente Vallés,Duración: 15 horas y 25 mins
Encuentra tu persona vitamina,Marian Rojas Estapé,Duración: 8 horas y 57 mins
Great Courses: Conspiraciones y teorías conspirativas (Narración en Castellano),Michael Shermer,Duración: 7 horas y 15 mins
Hierba,"The Story Lab,Conchi Cejudo,Álvaro de Cózar",Duración: 3 horas y 48 mins
Doula,Claudio Cerdán,Duración: 6 horas y 20 mins
Great Courses: ¿Sin calculadora? Ningún problema,Arthur Benjamin,Duración: 5 horas y 52 mins
El yo creativo,Carlos García-Delgado,Duración: 6 horas y 30 mins
Obsesión,"J L Butler,Jorge Rizzo - traduccion",Duración: 13 horas y 35 mins
Outland (El otro lado),Dennis E. Taylor,Duración: 11 horas y 58 mins
El Libro Negro de las Horas,Eva García Sáenz de Urturi,Duración: 9 horas y 28 mins
El Desafío: 11-M,"María Paredes,Pilar Cebrián,Andrés Torres,José Ortiz",Duración: 10 horas y 36 mins
Can't Hurt Me,David Goggins,Duración: 13 horas y 37 mins
